,Is the thing related to food or drink in any way?,Would the keyword be included in the broad category of Machines?,Is it tangible?,Is it water-based?,is it a living thing?,Would the keyword be considered a Home appliance?
Contact lenses,no,no,yes,no,no,no
Conveyor belt,yes,yes,yes,no,no,no
Cooling Tower,no,yes,yes,yes,no,no
Coral reefs,no,no,yes,yes,no,no
Cream cheese,yes,no,yes,no,no,no
Crochet Hook,no,no,yes,no,no,no
Croissant,yes,no,yes,no,no,no
Cup holder,yes,no,yes,no,no,no
Cupcake,yes,no,yes,no,no,no
Curling Iron,no,yes,yes,no,no,no
Curtains,no,no,yes,no,no,no
Cutlery,yes,no,yes,no,no,no
Cutting Board,yes,no,yes,no,no,no
Dandelion,yes,no,yes,no,yes,no
Deciduous tree,no,no,yes,no,yes,no
Dental Chair,no,yes,yes,no,no,no
Desk Chairs,no,no,yes,no,no,no
Desk lamp,no,no,yes,no,no,no
Desktop computer,no,yes,yes,no,no,no
Diaper,no,no,yes,no,no,no
Dijon mustard,yes,no,yes,no,no,no
Dining table,yes,no,yes,no,no,no
Dish Rack,yes,no,yes,no,no,no
Dish soap,no,no,yes,yes,no,no
Disinfectant,no,no,yes,no,no,no
Diving board,no,no,yes,yes,no,no
Dog bed,no,no,yes,no,no,no
Dog crate,no,no,yes,no,no,no
Dog shampoo,no,no,yes,no,no,no
Donuts,yes,no,yes,no,no,no
Drain Hose,no,yes,yes,no,no,no
Drapes,no,no,yes,no,no,no
Duct tape,no,no,yes,no,no,no
Duffle Bags,no,no,yes,no,no,no
Dumbbells,no,no,yes,no,no,no
Dump truck,no,yes,yes,no,no,no
Duvet,no,no,yes,no,no,no
DVD,no,no,yes,no,no,no
DVD Player,no,yes,yes,no,no,no
Dynamite,no,no,yes,no,no,no
Ear protection,no,no,yes,no,no,no
Earl Grey tea,yes,no,yes,yes,no,no
Earplug,no,no,yes,no,no,no
Earth,no,no,yes,no,no,no
Edamame,yes,no,yes,no,yes,no
Edible flowers,yes,no,yes,no,yes,no
Electric scooter,no,yes,yes,no,no,no
Electric toothbrush,no,yes,yes,no,no,yes
Electrical outlet,no,no,yes,no,no,no
Electrical panel,no,no,yes,no,no,no
Electrical tape,no,no,yes,no,no,no
Elevator,no,yes,yes,no,no,no
Elliptical Trainers,no,yes,yes,no,no,no
Emergency Exit Sign,no,no,yes,no,no,no
Emergency lights,no,no,yes,no,no,no
Energy drink,yes,no,yes,no,no,no
Engravings,no,no,yes,no,no,no
Escalators,no,yes,yes,no,no,no
Eucalyptus,no,no,yes,no,yes,no
Excavator,no,yes,yes,no,no,no
Exercise Mat,no,no,yes,no,no,no
Exhaust Fan,no,yes,yes,no,no,yes
Exit sign,no,no,yes,no,no,no
Extension Cord,no,no,yes,no,no,no
Eye mask,no,no,yes,no,no,no
Face mask,no,no,yes,no,no,no
Facial Toner,no,no,yes,yes,no,no
Fanny pack,no,no,yes,no,no,no
Fertilizer,yes,no,yes,no,no,no
Filing cabinet,no,no,yes,no,no,no
Finger food,yes,no,yes,no,no,no
Fire alarm,no,yes,yes,no,no,no
Fire Escape Ladder,no,no,yes,no,no,no
Fire Extinguisher,no,no,yes,no,no,no
Fireplace,no,no,yes,no,no,no
First Aid Kit,no,no,yes,no,no,no
Fish tank,no,no,yes,yes,no,no
Fishing pier,no,no,yes,yes,no,no
Fitness tracker,no,no,yes,no,no,no
Flashlight,no,no,yes,no,no,no
Floor jacks,no,yes,yes,no,no,no
Floor Mats,no,no,yes,no,no,no
Foam roller,no,no,yes,no,no,no
Fog machine,no,yes,yes,yes,no,no
Food bowl,yes,no,yes,no,no,no
Food warmers,yes,yes,yes,no,no,yes
Fortune cookie,yes,no,yes,no,no,no
Frappuccino,yes,no,yes,no,no,no
Free Weights,no,no,yes,no,no,no
French toast,yes,no,yes,no,no,no
Fridge magnet,no,no,yes,no,no,no
Fried rice,yes,no,yes,no,no,no
Fungi,yes,no,yes,no,yes,no
Furniture,no,no,yes,no,no,no
Furniture polish,no,no,yes,no,no,no
Fuse,no,no,yes,no,no,no
Gadget,no,yes,yes,no,no,no
Garage Door,no,yes,yes,no,no,no
Garbage bag,no,no,yes,no,no,no
Garbage Can,no,no,yes,no,no,no
Garbage Disposal,yes,yes,yes,no,no,yes
Garbage Truck,no,yes,yes,no,no,no
Gas Mask,no,no,yes,no,no,no
Generator,no,yes,yes,no,no,no
Glass Table,no,no,yes,no,no,no
Glove Box,no,no,yes,no,no,no
Glove,no,no,yes,no,no,no
Golf Cart,no,yes,yes,no,no,no
GPS,no,yes,no,no,no,no
Grain bin,yes,no,yes,no,no,no
Granola,yes,no,yes,no,no,no
Grape Vine,yes,no,yes,no,yes,no
Grapefruit,yes,no,yes,no,yes,no
Graphic Novel,no,no,yes,no,no,no
Graphing Calculator,no,yes,yes,no,no,no
Gravity,no,no,no,no,no,no
Green beans,yes,no,yes,no,yes,no
Greeting Card,no,no,yes,no,no,no
Guard tower,no,no,yes,no,no,no
Guitar String,no,no,yes,no,no,no
Gym Mats,no,no,yes,no,no,no
Habanero pepper,yes,no,yes,no,yes,no
Hair clip,no,no,yes,no,no,no
Hair Dryer,no,yes,yes,no,no,yes
Hair Gel,no,no,yes,no,no,no
Hairbrush,no,no,yes,no,no,no
Hairspray,no,no,yes,no,no,no
Hamster wheel,no,yes,yes,no,no,no
Hamstring Curl Machine,no,yes,yes,no,no,no
Hand dryer,no,yes,yes,no,no,yes
Hand Sanitizer,no,no,yes,no,no,no
Handbag,no,no,yes,no,no,no
Handrail,no,no,yes,no,no,no
Hard hat,no,no,yes,no,no,no
Hash browns,yes,no,yes,no,no,no
Hay bale,no,no,yes,no,no,no
Hazelnut,yes,no,yes,no,yes,no
HDMI cable,no,no,yes,no,no,no
Headlamp,no,no,yes,no,no,no
Headphones,no,yes,yes,no,no,no
Hearing aid,no,yes,yes,no,no,no
Heart Rate Monitors,no,yes,yes,no,no,no
Heating Element,no,no,yes,no,no,yes
Hibiscus,yes,no,yes,no,yes,no
High Chair,yes,no,yes,no,no,no
Highlighter,no,no,yes,no,no,no
Hiking boots,no,no,yes,no,no,no
Holly,no,no,no,no,yes,no
Honeybee,yes,no,yes,no,yes,no
Hot dog,yes,no,yes,no,no,no
Hot water bottle,no,no,yes,yes,no,no
Ice cream maker,yes,yes,yes,no,no,yes
Ice cube tray,yes,no,yes,no,no,no
Ice Water,yes,no,yes,yes,no,no
Iced coffee,yes,no,yes,no,no,no
Icicle,no,no,yes,yes,no,no
Incense,no,no,yes,no,no,no
Incubator,no,yes,yes,no,no,no
Index Card,no,no,yes,no,no,no
Inhaler,no,no,yes,no,no,no
Ink Cartridge,no,no,yes,no,no,no
Insulation,no,no,yes,no,no,no
Router,no,yes,yes,no,no,no
Interstate,no,no,no,no,no,no
Iris,no,no,yes,no,yes,no
Iron,yes,no,yes,no,no,no
Ironing Board,no,no,yes,no,no,no
Iron bar,no,no,yes,no,no,no
Irrigation system,yes,yes,yes,yes,no,no
IV,no,no,no,no,no,no
Jewelry Box,no,no,yes,no,no,no
Journal,no,no,yes,no,no,no
Joystick,no,yes,yes,no,no,no
Jumper Cables,no,no,yes,no,no,no
Kale smoothie,yes,no,yes,no,no,no
Karaoke machine,no,yes,yes,no,no,no
Key chain,no,no,yes,no,no,no
Khaki pants,no,no,yes,no,no,no
Kiosk,yes,yes,yes,no,no,no
Kitchen cabinet,yes,no,yes,no,no,no
Garbage disposal,yes,yes,yes,no,no,yes
Kitchen table,yes,no,yes,no,no,no
Komodo dragon,no,no,yes,no,yes,no
Lab coat,no,no,yes,no,no,no
Lanyard,no,no,yes,no,no,no
Laptop,no,yes,yes,no,no,no
Laser beam,no,no,no,no,no,no
Lathe,no,yes,yes,no,no,no
Laundry Basket,no,no,yes,no,no,no
Lawnmower,no,yes,yes,no,no,no
Lego,no,no,yes,no,no,no
Library Card,no,no,yes,no,no,no
Light Switch,no,no,yes,no,no,no
Lightbulb,no,no,yes,no,no,yes
Lint Roller,no,no,yes,no,no,no
Lint Trap,no,no,yes,no,no,no
Litter scooper,no,no,yes,no,no,no
Lottery Ticket,no,no,yes,no,no,no
Luggage,no,no,yes,no,no,no
Magazine Rack,no,no,yes,no,no,no
Mailbox,no,no,yes,no,no,no
Marshmallow,yes,no,yes,no,no,no
Masks,no,no,yes,no,no,no
Matches,no,no,yes,no,no,no
Measuring cup,yes,no,yes,no,no,no
Measuring Tape,no,no,yes,no,no,no
Medical Records,no,no,no,no,no,no
Medication Dispenser,no,yes,yes,no,no,no
Medication,no,no,no,no,no,no
Medicine Cabinet,no,no,yes,no,no,no
Menorah,no,no,yes,no,no,no
Metal detector,no,yes,yes,no,no,no
Mouse,no,yes,yes,no,yes,no
Microphone stand,no,no,yes,no,no,no
Microscope,no,yes,yes,no,no,no
Microwave,yes,yes,yes,no,no,yes
Milling machine,no,yes,yes,no,no,no
Mini fridge,yes,yes,yes,no,no,yes
Mixing Bowl,yes,no,yes,no,no,no
Mobile phone,no,yes,yes,no,no,no
Modem,no,yes,yes,no,no,no
Motorcycle Helmet,no,no,yes,no,no,no
Movie poster,no,no,yes,no,no,no
Muffin Tin,yes,no,yes,no,no,no
Muffin,yes,no,yes,no,no,no
Muffler,no,yes,yes,no,no,no
Mural,no,no,yes,yes,no,no
Mushroom,yes,no,yes,no,yes,no
Nachos,yes,no,yes,no,no,no
Nail clipper,no,no,yes,no,no,no
Nail polish,no,no,yes,no,no,no
Nail Polish Remover,no,no,yes,no,no,no
Name tag,no,no,yes,no,no,no
Nap mat,no,no,yes,no,no,no
Necklace,no,no,yes,no,no,no
Nightstand,no,no,yes,no,no,no
Notebook,no,no,yes,no,no,no
Nozzle,no,yes,yes,no,no,no
Oak table,no,no,yes,no,no,no
Ocarina,no,no,yes,no,no,no
Oil filter,no,no,yes,no,no,no
Ointment,no,no,yes,no,no,no
Olive Oil,yes,no,yes,no,no,no
Onyx,no,no,yes,no,no,no
Orange peel,yes,no,yes,no,no,no
Orange tree,yes,no,yes,no,yes,no
Orange zest,yes,no,yes,no,no,no
Outdoor Furniture,no,no,yes,no,no,no
Oven door,yes,yes,yes,no,no,yes
Oven rack,yes,no,yes,no,no,no
Owl,no,no,yes,no,yes,no
Oxygen tank,no,no,yes,no,no,no
Pacifier,no,no,yes,no,no,no
Packing peanuts,no,no,yes,no,no,no
Pad,no,no,yes,no,no,no
Pajamas,no,no,yes,no,no,no
Pallet Jack,no,yes,yes,no,no,no
Pamphlet,no,no,yes,no,no,no
Pants,no,no,yes,no,no,no
Paper towels,no,no,yes,no,no,no
Paperweights,no,no,yes,no,no,no
Paperwork,no,no,yes,no,no,no
Parachute,no,no,yes,no,no,no
Parallel bars,no,no,yes,no,no,no
Pea soup,yes,no,yes,yes,no,no
Pencil Sharpener,no,yes,yes,no,no,no
Perfume,no,no,yes,no,no,no
Personal protective equipment,no,no,yes,no,no,no
Pesticide,yes,no,yes,no,no,no
Phone charger,no,no,yes,no,no,no
Photo album,no,no,yes,no,no,no
Piano,no,no,yes,no,no,no
Pickaxe,no,no,yes,no,no,no
Piping tips,yes,no,yes,no,no,no
Placemat,yes,no,yes,no,no,no
Planter Box,no,no,yes,no,no,no
Plaque,no,no,yes,no,no,no
Plastic Gloves,yes,no,yes,no,no,no
Plastic wrap,yes,no,yes,no,no,no
Plate,yes,no,yes,no,no,no
Play mat,no,no,yes,no,no,no
Playing cards,no,no,yes,no,no,no
Pliers,no,no,yes,no,no,no
Polyester,no,no,yes,no,no,no
Pool cleaner,no,yes,yes,no,no,yes
Popcorn,yes,no,yes,no,no,no
Popcorn machine,yes,yes,yes,no,no,yes
Portable speaker,no,no,yes,no,no,no
Pot holder,yes,no,yes,no,no,no
Potato,yes,no,yes,no,yes,no
Power Drill,no,yes,yes,no,no,no
Power lines,no,no,yes,no,no,no
Power strip,no,no,yes,no,no,no
Press Box,no,no,yes,no,no,no
Pressure gauge,no,no,yes,no,no,no
Projector,no,yes,yes,no,no,no
Protein bar,yes,no,yes,no,no,no
Protein Shakes,yes,no,yes,no,no,no
Pry Bar,no,no,yes,no,no,no
Public Address System,no,yes,yes,no,no,no
Pumpkin pie,yes,no,yes,no,no,no
Punching Bag,no,no,yes,no,no,no
Push pin,no,no,yes,no,no,no
Puzzle,no,no,no,no,no,no
Pyramid,no,no,yes,no,no,no
Quesadilla,yes,no,yes,no,no,no
Rabbit,no,no,yes,no,yes,no
Raccoon,no,no,yes,no,yes,no
Radio scanner,no,yes,yes,no,no,no
Radish,yes,no,yes,no,yes,no
Railroad tracks,no,no,yes,no,no,no
Raindrops,no,no,yes,yes,no,no
Rat,no,no,yes,no,yes,no
Red velvet cake,yes,no,yes,no,no,no
Red wine,yes,no,yes,no,no,no
Refrigerator,yes,yes,yes,no,no,yes
Rehearsal room,no,no,yes,no,no,no
Reindeer,no,no,yes,no,yes,no
Relish,yes,no,yes,no,no,no
Reptile,no,no,yes,no,yes,no
Resin,no,no,yes,no,no,no
Respirator,no,yes,yes,no,no,no
Restaurants,yes,no,yes,no,no,no
Rice pudding,yes,no,yes,no,no,no
Rivet,no,no,yes,no,no,no
Robot arm,no,yes,yes,no,no,no
Rolling pin,yes,no,yes,no,no,no
Roots,no,no,no,no,yes,no
Rowing machines,no,yes,yes,no,no,no
Rug,no,no,yes,no,no,no
RV,no,yes,yes,no,no,no
Safety harness,no,no,yes,no,no,no
Salad Dressing,yes,no,yes,no,no,no
Satellite,no,yes,no,no,no,no
Sauna,no,no,yes,no,no,no
Scones,yes,no,yes,no,no,no
Scoreboard,no,no,yes,no,no,no
Scrap metal,no,no,yes,no,no,no
Scratching posts,no,no,yes,no,no,no
Screwdriver,no,no,yes,no,no,no
Security systems,no,no,yes,no,no,no
Seed packet,no,no,yes,no,no,no
Server Rack,no,yes,yes,no,no,no
Sewing Kit,no,no,yes,no,no,no
Shin Guards,no,no,yes,no,no,no
Shipping label,no,no,yes,no,no,no
Shoe Rack,no,no,yes,no,no,no
Shower caddy,no,no,yes,no,no,no
Shower mat,no,no,yes,no,no,no
Sieve,yes,no,yes,no,no,no
Silicone,yes,no,yes,no,no,no
Silicone mat,yes,no,yes,no,no,no
Silver ore,no,no,yes,no,no,no
Sippy cup,yes,no,yes,no,no,no
Sketchbook,no,no,yes,no,no,no
Sleeping bag,no,no,yes,no,no,no
Smartphone,no,yes,yes,no,no,no
Smartwatch,no,yes,yes,no,no,no
Smoke Detector,no,yes,yes,no,no,no
Snacks,yes,no,yes,no,no,no
Soap dish,no,no,yes,no,no,no
Soap Dispenser,no,no,yes,no,no,no
Soap Suds,no,no,yes,yes,no,no
Soda,yes,no,yes,no,no,no
Sofa,no,no,yes,no,no,no
Solar panel,no,yes,yes,no,no,no
Soldering iron,no,no,yes,no,no,no
Sound system,no,yes,yes,no,no,no
Soybeans,yes,no,yes,no,yes,no
Space probe,no,yes,yes,no,no,no
Spatula,yes,no,yes,no,no,no
Spice Rack,yes,no,yes,no,no,no
Spider web,no,no,yes,no,no,no
Sportswear,no,no,yes,no,no,no
Spotlight,no,no,no,no,no,no
Sprinkler,no,yes,yes,yes,no,no
Sprinkler System,no,yes,yes,yes,no,no
Squirrel,no,no,yes,no,yes,no
Stadium,no,no,yes,no,no,no
Stage lights,no,no,yes,no,no,no
Stain Remover,no,no,yes,yes,no,no
Stained glass window,no,no,yes,no,no,no
Stair Stepper,no,yes,yes,no,no,no
Staircase,no,no,yes,no,no,no
Stationary Bike,no,yes,yes,no,no,no
Steam room,no,no,yes,yes,no,no
Sticker,no,no,yes,no,no,no
Sticky notes,no,no,yes,no,no,no
Storage bin,no,no,yes,no,no,no
Stove,yes,yes,yes,no,no,yes
Street sign,no,no,yes,no,no,no
Sugar packet,yes,no,yes,no,no,no
Suitcase,no,no,yes,no,no,no
Sunglasses,no,no,yes,no,no,no
Sunscreen,no,no,yes,no,no,no
Swimsuit,no,no,yes,no,no,no
Swing set,no,no,yes,no,no,no
Tablet,no,yes,yes,no,no,no
Tank,no,yes,yes,no,no,no
Tape dispenser,no,no,yes,no,no,no
Taser,no,yes,yes,no,no,no
Tea leaf,yes,no,yes,no,yes,no
Telescope,no,yes,yes,no,no,no
Television,no,yes,yes,no,no,yes
Tennis ball,no,no,yes,no,no,no
Tennis court,no,no,yes,no,no,no
Throw blanket,no,no,yes,no,no,no
Ticket Machine,no,yes,yes,no,no,no
Ticket stub,no,no,yes,no,no,no
Tire iron,no,no,yes,no,no,no
Tissue box,no,no,yes,no,no,no
Toaster Oven,yes,yes,yes,no,no,yes
Tofu,yes,no,yes,no,no,no
Toilet,no,no,yes,no,no,no
Toiletries bag,no,no,yes,no,no,no
Tomato,yes,no,yes,no,yes,no
Tongue Depressor,no,no,yes,no,no,no
Tool Belt,no,no,yes,no,no,no
Tool Box,no,no,yes,no,no,no
Toothbrush,no,no,yes,no,no,no
Toothbrush Holder,no,no,yes,no,no,no
Toothpaste,no,no,yes,yes,no,no
Touchscreen,no,yes,yes,no,no,no
Tow truck,no,yes,yes,no,no,no
Towel,no,no,yes,no,no,no
Tracksuit,no,no,yes,no,no,no
Tractor shed,no,no,yes,no,no,no
Tractor,no,yes,yes,no,no,no
Train brake,no,yes,yes,no,no,no
Train door,no,no,yes,no,no,no
Trash bag,no,no,yes,no,no,no
Trash Can,no,no,yes,no,no,no
Tricycle,no,yes,yes,no,no,no
Truck,no,yes,yes,no,no,no
Tulip,no,no,yes,no,yes,no
Turkey,yes,no,no,no,no,no
Turn signal,no,no,yes,no,no,no
Turnstiles,no,yes,yes,no,no,no
Tweezers,no,no,yes,no,no,no
Udon Noodles,yes,no,yes,no,no,no
Ultraviolet Lamp,no,yes,yes,no,no,no
Umbrella stand,no,no,yes,no,no,no
Underground River,no,no,yes,yes,no,no
Unleavened Bread,yes,no,yes,no,no,no
Urinal,no,no,yes,no,no,no
USB drives,no,no,yes,no,no,no
Utility Box,no,no,yes,no,no,no
Utility Cart,no,no,yes,no,no,no
Vacuum Cleaner,no,yes,yes,no,no,yes
Vanilla Extract,yes,no,yes,no,no,no
Vanity mirror,no,no,yes,no,no,no
Vans,no,no,yes,no,no,no
Vase,no,no,yes,no,no,no
Vegetable,yes,no,yes,no,yes,no
Vegetation,no,no,yes,no,yes,no
Veggie Burger,yes,no,yes,no,no,no
Velvet rope,no,no,yes,no,no,no
Vending Machine,yes,yes,yes,no,no,no
Ventilation System,no,yes,yes,no,no,no
Video Camera,no,yes,yes,no,no,no
Violin Bow,no,no,yes,no,no,no
Violin Strings,no,no,yes,no,no,no
Virus,no,no,no,no,no,no
Volcano,no,no,yes,no,no,no
Voucher,no,no,no,no,no,no
VR Headset,no,yes,yes,no,no,no
Walking Stick,no,no,yes,no,no,no
Wall Art,no,no,yes,no,no,no
Wall Decorations,no,no,yes,no,no,no
Wall Street,no,no,no,no,no,no
Wardrobe,no,no,yes,no,no,no
Washing machine,no,yes,yes,yes,no,yes
Water,yes,no,yes,yes,no,no
Water Bottle,yes,no,yes,no,no,no
Water Buffalo,yes,no,yes,no,yes,no
Water Fountain,yes,yes,yes,yes,no,no
Water Heater,no,yes,yes,no,no,yes
Water Tank,yes,no,yes,yes,no,no
Watering Can,no,no,yes,no,no,no
Webcam,no,yes,yes,no,no,no
Wheelchair ramp,no,no,yes,no,no,no
Whistle,no,no,yes,no,no,no
Willow Tree,no,no,yes,no,yes,no
Windbreak,no,no,yes,no,no,no
Wine Aerator,yes,no,yes,no,no,no
Wine Decanter,yes,no,yes,no,no,no
Wine Opener,yes,no,yes,no,no,no
Wine rack,yes,no,yes,no,no,no
Wine Tasting Kit,yes,no,yes,no,no,no
Wire rack,yes,no,yes,no,no,no
Wireless Speaker,no,yes,yes,no,no,no
Wrench,no,no,yes,no,no,no
Wrist Weights,no,no,yes,no,no,no
Wristband,no,no,yes,no,no,no
Yoga Block,no,no,yes,no,no,no
Yoga mat,no,no,yes,no,no,no
Yogurt,yes,no,yes,no,no,no
Zinc,yes,no,yes,no,no,no
